"","created_at","screen_name","text","source","is_quote","is_retweet","favorite_count","retweet_count","quoted_screen_name","retweet_screen_name","status_url","place_full_name"
"TulsiGabbard.2789",2016-12-02 01:32:01,"TulsiGabbard","With unanimous support, my bill, Filipino Veterans of WWII Congressional Gold Medal Act now goes to @POTUS.
https://t.co/XQC8ytJB1c","Sprout Social",FALSE,FALSE,278,77,NA,NA,"https://twitter.com/TulsiGabbard/status/804498320689430528",NA
"TulsiGabbard.2790",2016-12-01 23:21:01,"TulsiGabbard","Veterans face a growing number of unacceptable issues: unemployment, homelessness &amp; lack of quality medical care. We must do better.","Sprout Social",FALSE,FALSE,806,335,NA,NA,"https://twitter.com/TulsiGabbard/status/804465353594208257",NA
"TulsiGabbard.2791",2016-12-01 20:40:01,"TulsiGabbard","When we work together, we can ensure politicians stand with the people of this country, not powerful special interests.","Sprout Social",FALSE,FALSE,555,235,NA,NA,"https://twitter.com/TulsiGabbard/status/804424838152671232",NA
"TulsiGabbard.2792",2016-12-01 17:27:31,"TulsiGabbard","We must end the ill-conceived, counterproductive regime-change war in Syria now. More in my @TheNation op-ed <U+2192>
https://t.co/f9lzaFW4e4","Sprout Social",FALSE,FALSE,964,679,NA,NA,"https://twitter.com/TulsiGabbard/status/804376392293031941",NA
"TulsiGabbard.2793",2016-12-01 16:53:49,"TulsiGabbard","Congresswomen @TulsiGabbard and thousands of vets are headed to ND in solidarity with the Standing Rock Sioux Tribe.
https://t.co/6bWhKBbmq1","Twitter for iPad",FALSE,TRUE,0,479,NA,"NicholsUprising","https://twitter.com/TulsiGabbard/status/804367912098263040",NA
"TulsiGabbard.2794",2016-12-01 16:50:35,"TulsiGabbard","@AgentOrchid @NBCNews Looks like the video feed is gone.","Twitter for iPad",FALSE,FALSE,8,0,NA,NA,"https://twitter.com/TulsiGabbard/status/804367098071973888",NA
"TulsiGabbard.2795",2016-12-01 16:47:41,"TulsiGabbard","The veterans on my staff have assigned me the call sign ""Aloha 6"" - I like it.  All you Army types will get it.  #HireVets","Twitter for iPad",FALSE,FALSE,394,128,NA,NA,"https://twitter.com/TulsiGabbard/status/804366368384700416",NA
"TulsiGabbard.2796",2016-12-01 15:26:48,"TulsiGabbard","Thanks @NicholsUprising @TulsiGabbard puts her activism where her heart is.  And all of our hearts are with those at #StandingRock #NoDAPL https://t.co/NcYtxv6tua","Twitter for iPad",FALSE,TRUE,0,180,NA,"RoseAnnDeMoro","https://twitter.com/TulsiGabbard/status/804346015105089536",NA
"TulsiGabbard.2797",2016-12-01 03:21:13,"TulsiGabbard","@BenSasse @BCD_76 Come out to Hawaii! Will get you in the water","Twitter for iPhone",FALSE,FALSE,20,2,NA,NA,"https://twitter.com/TulsiGabbard/status/804163416059416577",NA
"TulsiGabbard.2798",2016-12-01 02:16:01,"TulsiGabbard","We are all connected in this great web of life &amp; must care for the Earth for our children. #noDAPL
https://t.co/nc6Eope5st","Sprout Social",FALSE,FALSE,613,372,NA,NA,"https://twitter.com/TulsiGabbard/status/804147005639507973",NA
"TulsiGabbard.2799",2016-12-01 00:04:03,"TulsiGabbard","Proud to have worked with @maziehirono on passing legislation to honor WWII Filipino veterans who fought and sacrificed alongside US troops","Twitter for iPhone",FALSE,FALSE,176,42,NA,NA,"https://twitter.com/TulsiGabbard/status/804113795379589120",NA
"TulsiGabbard.2800",2016-12-01 00:03:01,"TulsiGabbard","I'm participating in the #noDAPL protest because of the threat this project poses to water resources in 4 states serving millions of people.","Sprout Social",FALSE,FALSE,2136,1171,NA,NA,"https://twitter.com/TulsiGabbard/status/804113536150552579",NA
"TulsiGabbard.2801",2016-11-30 23:39:10,"TulsiGabbard","Just minutes ago, passed my bill to honor WWII Filipino veterans with a Congressional Gold Medal - now it goes to @POTUS for signature!","Twitter for iPhone",FALSE,FALSE,373,84,NA,NA,"https://twitter.com/TulsiGabbard/status/804107533254172672",NA
"TulsiGabbard.2802",2016-11-30 23:02:11,"TulsiGabbard",".@TulsiGabbard speaks to the crowd about the need to stand up for working families against unfair and unjust 'trade' deals moving forward. https://t.co/jm8Jw5o7Hc","Twitter for iPhone",FALSE,TRUE,0,83,NA,"PCGTW","https://twitter.com/TulsiGabbard/status/804098227826020357",NA
"TulsiGabbard.2803",2016-11-30 22:12:01,"TulsiGabbard","Add your name to our petition calling on President Obama to end the counterproductive regime change war in Syria.
https://t.co/y4gWUONsXz","Sprout Social",FALSE,FALSE,434,282,NA,NA,"https://twitter.com/TulsiGabbard/status/804085604334129156",NA
"TulsiGabbard.2804",2016-11-30 21:00:09,"TulsiGabbard","Yesterday, the HIRE Vets Act, a bill I co-introduced passed the House. This bill incentivizes employers to hire our veterans.","Sprout Social",FALSE,FALSE,356,113,NA,NA,"https://twitter.com/TulsiGabbard/status/804067516062568448",NA
"TulsiGabbard.2805",2016-11-30 20:14:01,"TulsiGabbard","Pleased the House passed my bill, Veterans TRICARE Choice Act. Our veterans deserve to choose the best healthcare for themselves.","Sprout Social",FALSE,FALSE,464,150,NA,NA,"https://twitter.com/TulsiGabbard/status/804055906942152705",NA
"TulsiGabbard.2806",2016-11-30 17:57:56,"TulsiGabbard","Congrats to #FutureCaucus co-chair @TulsiGabbard for passing #bipartisan HIRE Vets Act, &amp; bipartisan #GivingTuesday resolution. Big week!","Twitter for iPhone",FALSE,TRUE,0,37,NA,"StevenOlikara","https://twitter.com/TulsiGabbard/status/804021658675802113",NA
"TulsiGabbard.2807",2016-11-30 16:43:01,"TulsiGabbard","Wells Fargo is trying to diminish their accountability in scamming their customers and we can<U+2019>t let that happen. 
https://t.co/vFjvE8paxn","Sprout Social",FALSE,FALSE,353,276,NA,NA,"https://twitter.com/TulsiGabbard/status/804002807166750720",NA
"TulsiGabbard.2808",2016-11-30 04:26:01,"TulsiGabbard","Time to end our country<U+2019>s illegal war to overthrow the Syrian government and focus our precious resources on rebuilding our own country.","Sprout Social",FALSE,FALSE,1385,692,NA,NA,"https://twitter.com/TulsiGabbard/status/803817333752008704",NA
"TulsiGabbard.2809",2016-11-30 02:11:01,"TulsiGabbard","We must stop the illegal counterproductive war to overthrow the Syrian govt. 
https://t.co/TRNnwXZGm6","Sprout Social",FALSE,FALSE,427,219,NA,NA,"https://twitter.com/TulsiGabbard/status/803783359843405824",NA
"TulsiGabbard.2810",2016-11-29 22:26:01,"TulsiGabbard","Escalating the regime change war in Syria would be devastating. It has already left 400,000+ Syrians dead &amp; strengthened terrorist groups.","Sprout Social",FALSE,FALSE,738,457,NA,NA,"https://twitter.com/TulsiGabbard/status/803726737163124736",NA
"TulsiGabbard.2811",2016-11-29 20:00:08,"TulsiGabbard","Good news! The House will take a historic vote this week to honor our Filipino World War II veterans with the Congressional Gold Medal.","Sprout Social",FALSE,FALSE,325,70,NA,NA,"https://twitter.com/TulsiGabbard/status/803690026580279297",NA
"TulsiGabbard.2812",2016-11-29 17:32:41,"TulsiGabbard","@TulsiGabbard @ManDownMovie it addresses ptsd, homelessness and medication without therapy. Its a triple threat. #Awarenessiskey #actionsnxt","Twitter for iPhone",FALSE,TRUE,0,10,NA,"StevenPadilla8","https://twitter.com/TulsiGabbard/status/803652917148446720",NA
"TulsiGabbard.2813",2016-11-29 17:07:49,"TulsiGabbard","@TulsiGabbard I stand with Tulsi on Syria. End arming the Syrian Rebels. .@nprpolitics https://t.co/EZ3a0DEvQ0","Twitter for iPhone",FALSE,TRUE,0,142,NA,"jgreenSTPA","https://twitter.com/TulsiGabbard/status/803646660693884928",NA
"TulsiGabbard.2814",2016-11-29 16:57:56,"TulsiGabbard","It's #GivingTuesday. Empower veterans to serve again: https://t.co/MBFCTh6N8V https://t.co/w6dtll76IC","Twitter for iPhone",FALSE,TRUE,0,22,NA,"missioncontinue","https://twitter.com/TulsiGabbard/status/803644171378655236",NA
"TulsiGabbard.2815",2016-11-29 16:49:07,"TulsiGabbard","@TulsiGabbard @ManDownMovie Thank you so much! We hope it can have a positive impact on the treatment of veterans.","Twitter for iPhone",FALSE,TRUE,0,8,NA,"AdamSimonactor","https://twitter.com/TulsiGabbard/status/803641952344227840",NA
"TulsiGabbard.2816",2016-11-29 16:37:01,"TulsiGabbard","On Sun., I<U+2019>m joining thousands of veterans who are standing in solidarity with the Standing Rock Sioux Tribe #noDAPL
https://t.co/wGfhGKF0Km","Sprout Social",FALSE,FALSE,3079,1724,NA,NA,"https://twitter.com/TulsiGabbard/status/803638909527728128",NA
"TulsiGabbard.2817",2016-11-29 04:57:28,"TulsiGabbard","Today 17 former members of Obama's Administration issued a letter urging him to block or reroute DAPL. #NODAPL https://t.co/mSSK6wpYj7","Twitter for iPhone",FALSE,TRUE,0,4305,NA,"RuthHHopkins","https://twitter.com/TulsiGabbard/status/803462861305552896",NA
"TulsiGabbard.2818",2016-11-29 02:14:48,"TulsiGabbard","@ManDownMovie is a powerful film that gives insight into the experience/effect post-traumatic stress can have on our troops &amp; their families","Twitter for iPhone",FALSE,FALSE,50,29,NA,NA,"https://twitter.com/TulsiGabbard/status/803421925653389313",NA
"TulsiGabbard.2819",2016-11-28 02:38:00,"TulsiGabbard","The regime change war in Syria has strengthened al-Qaeda and other terrorist groups in the region. We must end it.","Sprout Social",FALSE,FALSE,1030,637,NA,NA,"https://twitter.com/TulsiGabbard/status/803065377915748352",NA
"TulsiGabbard.2820",2016-11-28 00:11:01,"TulsiGabbard","Are you following me on @medium yet? Follow for all of the latest news: https://t.co/B7HuW67ODQ","Sprout Social",FALSE,FALSE,140,46,NA,NA,"https://twitter.com/TulsiGabbard/status/803028385035337729",NA
"TulsiGabbard.2821",2016-11-27 22:00:03,"TulsiGabbard","We must stop wasting our limited resources on counterproductive regime change wars. End our war to overthrow the Syrian government now.","Sprout Social",FALSE,FALSE,1490,825,NA,NA,"https://twitter.com/TulsiGabbard/status/802995428459483137",NA
"TulsiGabbard.2822",2016-11-27 20:27:01,"TulsiGabbard","We<U+2019>re long overdue for criminal justice reform. Our system is broken and unsustainable. We<U+2019>ve got to take action on this now.","Sprout Social",FALSE,FALSE,698,271,NA,NA,"https://twitter.com/TulsiGabbard/status/802972013778370560",NA
"TulsiGabbard.2823",2016-11-27 18:15:01,"TulsiGabbard","The war to overthrow the Syrian government is creating more devastation, human suffering, and refugees.","Sprout Social",FALSE,FALSE,764,454,NA,NA,"https://twitter.com/TulsiGabbard/status/802938796207722496",NA
