"","created_at","screen_name","text","source","is_quote","is_retweet","favorite_count","retweet_count","quoted_screen_name","retweet_screen_name","status_url","place_full_name"
"BilldeBlasio.630",2017-09-13 02:37:19,"BilldeBlasio","Children are now getting a quality education for free. But we have to go further. It<U+2019>s time for all three-year-olds to have 3-K for All.","Twitter Web Client",FALSE,FALSE,43,19,NA,NA,"https://twitter.com/BilldeBlasio/status/907795298495365121",NA
"BilldeBlasio.631",2017-09-13 02:35:53,"BilldeBlasio","Remember our seniors <U+2014> so many of them are hanging on by a thread. We must enact a millionaire<U+2019>s tax for them. It is only fair.","Twitter Web Client",FALSE,FALSE,71,21,NA,NA,"https://twitter.com/BilldeBlasio/status/907794935037952002",NA
"BilldeBlasio.632",2017-09-13 02:31:47,"BilldeBlasio","We have a chance to make bigger changes, to create more fairness in NYC. That<U+2019>s what we<U+2019>re going to be talking about these next 2 months","Twitter Web Client",FALSE,FALSE,25,10,NA,NA,"https://twitter.com/BilldeBlasio/status/907793902509404160",NA
"BilldeBlasio.633",2017-09-13 02:30:25,"BilldeBlasio","You know it's your city when your child gets Pre-K for free and when there is a rent freeze for over 2M New Yorkers. #YOURCity","Twitter Web Client",FALSE,FALSE,33,8,NA,NA,"https://twitter.com/BilldeBlasio/status/907793561818730496",NA
"BilldeBlasio.634",2017-09-13 02:28:00,"BilldeBlasio","I do not accept the status quo in this city. We have more to do. I am not going to stop until we build that fairer city <U+2014> for everyone.","Twitter Web Client",FALSE,FALSE,74,20,NA,NA,"https://twitter.com/BilldeBlasio/status/907792954185670658",NA
"BilldeBlasio.635",2017-09-13 02:25:47,"BilldeBlasio","My friends, it is so wonderful to be here to celebrate a resounding victory tonight. Every one of you made a difference. #YOURCity","Sprout Social",FALSE,FALSE,89,23,NA,NA,"https://twitter.com/BilldeBlasio/status/907792396297162754",NA
"BilldeBlasio.636",2017-09-13 01:42:42,"BilldeBlasio","Thank you, NYC! Next up, the general election on November 7. Let<U+2019>s continue to make this your city.","Sprout Social",FALSE,FALSE,291,70,NA,NA,"https://twitter.com/BilldeBlasio/status/907781551240499206",NA
"BilldeBlasio.637",2017-09-13 00:50:01,"BilldeBlasio","Polls close in ten minutes. Don<U+2019>t wake up tomorrow regretting not casting your vote.","Sprout Social",FALSE,FALSE,58,22,NA,NA,"https://twitter.com/BilldeBlasio/status/907768294693851136",NA
"BilldeBlasio.638",2017-09-13 00:00:07,"BilldeBlasio","Only ONE HOUR until the polls close! You still have time to make your voice heard. https://t.co/W5MBDF4ZH0 https://t.co/OC0VwsHtQX","Sprout Social",FALSE,FALSE,22,14,NA,NA,"https://twitter.com/BilldeBlasio/status/907755734326267904",NA
"BilldeBlasio.639",2017-09-12 22:55:03,"BilldeBlasio","Done with work and haven<U+2019>t voted yet? Polls are open for another two hours. Grab a family member and head to your polling location. https://t.co/fX8TscrhN0","Sprout Social",FALSE,FALSE,35,16,NA,NA,"https://twitter.com/BilldeBlasio/status/907739363777413120",NA
"BilldeBlasio.640",2017-09-12 20:58:03,"BilldeBlasio","Retweet if you<U+2019>ve already voted to continue the real progress we<U+2019>ve made these past four years. Our work has just begun. https://t.co/J9rzm4nJVH","Sprout Social",FALSE,FALSE,31,31,NA,NA,"https://twitter.com/BilldeBlasio/status/907709918542778369",NA
"BilldeBlasio.641",2017-09-12 19:03:04,"BilldeBlasio","The primary is today and it<U+2019>s time to vote for 4 more years of progressive change. Polls are open until 9 p.m. https://t.co/W5MBDF4ZH0 https://t.co/4br9zQe52Z","Sprout Social",FALSE,FALSE,26,13,NA,NA,"https://twitter.com/BilldeBlasio/status/907680981385187330",NA
"BilldeBlasio.642",2017-09-12 18:12:01,"BilldeBlasio","Your vote today is a vote for NYC<U+2019>s children. We<U+2019>ve established free Pre-K<U+2014>and are now expanding it to every 3-year-old in the city.","Sprout Social",FALSE,FALSE,63,24,NA,NA,"https://twitter.com/BilldeBlasio/status/907668136169820160",NA
"BilldeBlasio.643",2017-09-12 17:18:04,"BilldeBlasio","Today is the democratic primary. It<U+2019>s a beautiful day to get out and vote. https://t.co/W5MBDF4ZH0 https://t.co/IBtW5cAf4u","Sprout Social",FALSE,FALSE,24,16,NA,NA,"https://twitter.com/BilldeBlasio/status/907654555776811010",NA
"BilldeBlasio.644",2017-09-12 16:00:29,"BilldeBlasio","Over four years we<U+2019>ve made NYC the safest big city in America, while stop-and-frisk is down 93%. Let<U+2019>s continue that progress. #NYCPrimary","Sprout Social",FALSE,FALSE,128,40,NA,NA,"https://twitter.com/BilldeBlasio/status/907635032621244416",NA
"BilldeBlasio.645",2017-09-12 15:11:01,"BilldeBlasio","Regardless of your zip code, we want to make sure that NYC works for you. In order to do that, we need YOU to head to the polls and vote.","Sprout Social",FALSE,FALSE,56,17,NA,NA,"https://twitter.com/BilldeBlasio/status/907622585667596288",NA
